"","SPOKE","HUB","2016","2017","2018","2019","2020","2021","Mean","Median","sd"
"25","ESP","All",0.269398726326466,0.271126217874907,0.265562369639365,0.263564811411165,0.272282559055683,0.253545065882483,0.265913291698345,0.267480547982915,0.00690654669601755
"26","CHE","All",0.767664693906883,0.862923746222351,0.917710797862322,0.800085061220579,0.892521743117047,0.914894458460457,0.85930008346494,0.877722744669699,0.06248650921316
"27","THA","All",0.702490569418748,0.7178433189406,0.700362246611838,0.714101651623493,0.73714740014968,0.759569189539496,0.721919062713976,0.715972485282047,0.0226685711357437
"28","ARE","All",0.159950407374982,0.187988390139762,0.202277711883292,0.182974726140938,0.254555130043993,0.240975911832341,0.204787046235885,0.195133051011527,0.036224547635231
"29","GBR","All",0.566212628358859,0.551581013346657,0.539563660126469,0.587937003887838,0.548269388298703,0.482451664857834,0.546002559812727,0.54992520082268,0.0354496200388116
"30","USA","All",0.146237526487236,0.151555942908553,0.136274371837299,0.13010182876645,0.160823979945953,0.156322633735368,0.146886047280143,0.148896734697895,0.0118309871282352
"31","VNM","All",1,1,1,1,1,1,1,1,0
"32","AUS","All",0.694865073615663,0.73902344625811,0.679616334823343,0.723027494405086,0.767422053295846,0.793937774015067,0.732982029402186,0.731025470331598,0.0432159905776931
"33","AUT","All",1,1,1,1,1,1,1,1,0
"34","BEL","All",0.467036593651923,0.459826463137553,0.480218491389173,0.498692124227269,0.503692160070246,0.485688128718514,0.482525660199113,0.482953310053843,0.0172038614314628
"35","BRA","All",1,1,1,1,1,1,1,1,0
"36","CAN","All",1,1,1,1,1,1,1,1,0
"37","CHN","All",0.268688145435507,0.276484663813617,0.278074460168807,0.251272957717487,0.259828881918175,0.259576180128262,0.265654214863642,0.264258513676841,0.010568475953393
"38","HKG","All",1,1,1,1,1,1,1,1,0
"39","TWN","All",0.649541277126688,0.670053188933232,0.678689305893491,0.684629790360777,0.678767496040101,0.675192611626407,0.672812278330116,0.676940958759949,0.0123650775934501
"40","CZE","All",1,1,1,1,1,1,1,1,0
"41","FRA","All",0.486630251302571,0.475496649921779,0.480183519991299,0.480925990860481,0.476013708403465,0.474018007499053,0.478878021329774,0.478098614197382,0.00467446833508373
"42","DEU","All",0.214829489015599,0.218300044597342,0.221305787949213,0.227798679923659,0.232475244239762,0.230784805703814,0.224249008571565,0.224552233936436,0.00715217215668316
"43","HUN","All",1,1,1,1,1,1,1,1,0
