"","From","To","Mean","UCI","p.value"
"114","ASM","ARG",6.48209532870678e-09,1.94462859861203e-08,0.32
"115","ASM","BHR",3.4182111000957e-08,1.02546333002871e-07,0.351
"116","ASM","BRB",1.4343463933156e-08,4.17339727337266e-08,0.101
"117","ASM","BEN",3.68261691648601e-09,1.1047850749458e-08,0.299
"118","ASM","BWA",6.1751137115389e-08,1.84091507335273e-07,0.087
"119","ASM","KHM",8.69789262903223e-08,2.00124418601822e-07,0.089
"120","ASM","COM",3.89788957659864e-09,7.79577915319727e-09,0.094
"121","ASM","COG",2.49852176507919e-08,6.61173723528092e-08,0.107
"122","ASM","CYP",3.37881448662379e-08,1.01364434598714e-07,0.325
"123","ASM","EST",1.22883752498097e-08,3.25333123050396e-08,0.077
"124","ASM","ETH",3.26176795337318e-06,7.02984420103145e-06,0.109
"125","ASM","GMB",2.66188496604255e-08,6.43895579320353e-08,0.087
"126","ASM","GIN",1.38716840034325e-07,4.16150520102975e-07,0.356
"127","ASM","ISL",3.38981640043872e-08,6.77963280087744e-08,0.08
"128","ASM","KAZ",2.73976562560007e-07,8.2192968768002e-07,0.339
"129","ASM","LAO",1.62035144325384e-08,3.24070288650769e-08,0.368
"130","ASM","LTU",2.88787562959299e-10,8.66362688877896e-10,0.327
"131","ASM","MDG",1.80816490599463e-07,3.61632981198926e-07,0.35
"132","ASM","MWI",2.12449247066113e-09,5.21157340108912e-09,0.089
"133","ASM","MLI",2.53901022050224e-07,5.19886060340137e-07,0.088
"134","ASM","MLT",4.32139688580452e-10,1.29641906574136e-09,0.319
"135","ASM","MDK",1.53145619727295e-09,3.06583286607982e-09,0.07
"136","ASM","ROU",1.44393781479649e-09,4.33181344438948e-09,0.334
"137","ASM","VCT",1.84140422178436e-09,4.33181344438948e-09,0.099
"138","ASM","SRB",6.24764674155169e-09,1.2780944119837e-08,0.097
"139","ASM","SYC",1.25320509688331e-08,3.75961529064993e-08,0.339
"140","ASM","SLE",7.46329676331088e-07,2.23898902899326e-06,0.316
"141","ASM","TLS",7.35872540233039e-09,2.20761762069912e-08,0.306
"142","ASM","YEM",1.65644532004142e-07,4.49237627173883e-07,0.083
"143","ASM","ZWE",3.24427780953835e-07,9.10086184150432e-07,0.084
"144","AND","AFG",5.24655657223991e-08,1.57396697167197e-07,0.339
"145","AND","ALB",4.32139688580452e-10,1.29641906574136e-09,0.328
"146","AND","DZA",1.60582275124733e-08,4.1692587208713e-08,0.074
"147","AND","AGO",1.21177225951052e-07,3.62489363172939e-07,0.076
"148","AND","ATG",3.97466406987872e-10,1.19239922096362e-09,0.335
"149","AND","BHS",4.32139688580452e-10,1.29641906574136e-09,0.332
"150","AND","BRB",1.19239922096362e-09,3.57719766289085e-09,0.335
"151","AND","BLZ",4.32139688580452e-10,8.64279377160904e-10,0.331
"152","AND","BEN",8.62024405611118e-08,2.57414922462372e-07,0.086
"153","AND","BRN",3.68261691648601e-10,1.1047850749458e-09,0.32
"154","AND","BDI",3.2587251265059e-08,6.75642950799917e-08,0.083
"155","AND","CAF",5.18567626296543e-09,1.55570287888963e-08,0.342
"156","AND","COG",2.57783184154021e-09,7.73349552462062e-09,0.332
"157","AND","CIV",1.94758539424057e-08,5.84275618272172e-08,0.306
"158","AND","CUB",2.5167690490161e-09,5.46567778661266e-09,0.091
"159","AND","ECU",5.46567778661266e-09,1.25077761626139e-08,0.085
"160","AND","EGY",7.69472148257387e-09,1.7972624583342e-08,0.087
"161","AND","GNQ",1.54920534785903e-08,4.64761604357709e-08,0.328
"162","AND","SWZ",9.7815169117909e-08,1.95630338235818e-07,0.072
"163","AND","ETH",1.1353271271093e-06,3.1264707573666e-06,0.09
"164","AND","FJI",8.35581194692427e-08,2.49512454396834e-07,0.085
"165","AND","GEO",1.53692476352625e-09,3.31435522483741e-09,0.099
"166","AND","GHA",1.73719113369637e-09,5.21157340108912e-09,0.326
"167","AND","GRD",2.30530516052966e-08,6.91591548158898e-08,0.363
"168","AND","GIN",2.59283813148271e-09,5.18567626296543e-09,0.325
"169","AND","IRN",1.70244731102245e-08,5.10734193306734e-08,0.331
"170","AND","IRQ",2.54799977986702e-09,6.48209532870678e-09,0.074
"171","AND","JAM",2.32380802178854e-08,6.97142406536563e-08,0.317
"172","AND","JOR",4.98444369680241e-08,1.41754796509624e-07,0.096
"173","AND","KIR",4.20554851862702e-07,1.26166455558811e-06,0.329
"174","AND","PRK",1.3897529069571e-09,4.1692587208713e-09,0.348
"175","AND","KGZ",3.47438226739275e-10,1.04231468021782e-09,0.344
"176","AND","LAO",5.18486839841968e-09,1.07672032038272e-08,0.096
"177","AND","MWI",4.3881550736862e-08,1.29259853768659e-07,0.092
"178","AND","MDV",4.33181344438948e-09,1.29954403331684e-08,0.348
"179","AND","MLI",3.21947789660176e-08,9.65843368980529e-08,0.35
"180","AND","MNG",1.08217779044331e-09,2.16435558088661e-09,0.092
"181","AND","MOZ",3.7040590388128e-08,9.89691353399802e-08,0.084
"182","AND","MMR",2.88787562959299e-10,8.66362688877896e-10,0.337
"183","AND","NAM",6.02410769619899e-08,1.2048215392398e-07,0.085
"184","AND","NPL",1.57970055792837e-09,3.57719766289085e-09,0.084
"185","AND","NCL",4.32139688580452e-10,1.29641906574136e-09,0.333
"186","AND","NIC",2.35559372658796e-09,5.96199610481808e-09,0.089
"187","AND","NER",1.73555264628217e-07,4.56276235952616e-07,0.082
"188","AND","MDK",3.97466406987872e-10,1.19239922096362e-09,0.347
"189","AND","OMN",1.25158071412566e-09,2.59283813148271e-09,0.097
"190","AND","PAK",6.57049254607899e-10,1.3140985092158e-09,0.103
"191","AND","KNA",3.87301336964757e-10,1.16190401089427e-09,0.343
"192","AND","LCA",8.34679454674532e-09,2.50403836402359e-08,0.341
"193","AND","VCT",8.66362688877896e-10,2.59908806663369e-09,0.338
"194","AND","SLE",4.32139688580452e-10,1.29641906574136e-09,0.328
"195","AND","PSE",1.73082995074842e-08,5.19248985224527e-08,0.333
"196","AND","TJK",4.28807735236425e-08,8.5761547047285e-08,0.081
"197","AND","TUN",3.30415658061954e-08,6.60831316123907e-08,0.1
"198","AND","UZB",1.78359601342056e-08,3.56892921797482e-08,0.086
"199","AND","ZMB",8.12740091009302e-08,2.03280453790028e-07,0.082
"200","AND","ZWE",2.43052716488076e-08,7.29158149464229e-08,0.329
"201","AGO","ASM",4.1692587208713e-09,1.25077761626139e-08,0.327
"202","AGO","AND",2.32380802178854e-09,6.97142406536563e-09,0.358
"203","AGO","BRB",1.29641906574136e-09,3.88925719722407e-09,0.339
"204","AGO","BLR",1.87616642439208e-08,5.62849927317625e-08,0.336
"205","AGO","BLZ",1.59634916617635e-07,4.71126235458457e-07,0.102
"206","AGO","BIH",3.57719766289085e-09,1.07315929886725e-08,0.32
"207","AGO","BRN",7.1543953257817e-09,2.14631859773451e-08,0.332
"208","AGO","KHM",2.58111858644607e-06,7.74335575933822e-06,0.331
"209","AGO","MAC",7.13409919417828e-06,2.13987203848719e-05,0.081
"210","AGO","CRI",3.87301336964757e-10,1.16190401089427e-09,0.332
"211","AGO","HRV",3.36842432349605e-08,9.06813771789508e-08,0.086
"212","AGO","DOM",9.29523208715418e-09,2.78856962614625e-08,0.361
"213","AGO","ERI",3.97466406987872e-10,1.19239922096362e-09,0.329
"214","AGO","EST",3.62734628806741e-08,1.04931131444798e-07,0.076
"215","AGO","GTM",3.45711750864362e-09,1.03713525259309e-08,0.325
"216","AGO","HND",3.88925719722407e-09,1.16677715916722e-08,0.332
"217","AGO","ISL",3.70820819398828e-06,1.11246245819648e-05,0.318
"218","AGO","JAM",7.94932813975744e-10,1.58986562795149e-09,0.374
"219","AGO","JOR",2.05529200487088e-05,6.16587601461263e-05,0.328
"220","AGO","PRK",3.88925719722407e-09,1.16677715916722e-08,0.326
"221","AGO","LVA",4.59814352602607e-08,1.34458593748099e-07,0.093
"222","AGO","LSO",6.9487645347855e-10,2.08462936043565e-09,0.326
"223","AGO","LTU",1.08217779044331e-09,2.16435558088661e-09,0.086
"224","AGO","LUX",2.16069844290226e-09,6.48209532870678e-09,0.331
"225","AGO","MUS",1.36003851453822e-08,3.95047363704053e-08,0.083
"226","AGO","MMR",1.15183417613319e-06,3.45550252839957e-06,0.312
"227","AGO","NIC",1.54920534785903e-09,4.64761604357709e-09,0.325
"228","AGO","NER",1.29641906574136e-09,3.88925719722407e-09,0.333
"229","AGO","NIU",3.12694404065347e-09,9.38083212196042e-09,0.342
"230","AGO","MNP",2.78856962614625e-08,8.36570887843876e-08,0.323
"231","AGO","PRY",2.8767885174012e-07,8.63036555220359e-07,0.335
"232","AGO","VCT",9.45622621716285e-06,2.83686786514885e-05,0.35
"233","AGO","SRB",5.34249249705564e-09,1.39428481307313e-08,0.092
"234","AGO","SYC",3.96890112989963e-05,0.000119022955648754,0.324
"235","AGO","SVK",1.29641906574136e-09,3.88925719722407e-09,0.346
"236","AGO","SVN",1.85170312986535e-08,4.64761604357709e-08,0.076
"237","AGO","SOM",1.90283593551693e-08,5.604276338529e-08,0.086
"238","AGO","LKA",1.03102703467387e-08,2.06205406934773e-08,0.077
"239","AGO","SYR",1.90141462975399e-08,5.70424388926197e-08,0.332
"240","AGO","TLS",1.58986562795149e-09,4.76959688385447e-09,0.311
"241","AGO","TCA",5.95647803481627e-09,1.66770348834852e-08,0.083
"242","AGO","VUT",6.61730846647623e-06,1.98519253994287e-05,0.331
"243","AGO","YEM",8.13332807625991e-09,2.43999842287797e-08,0.332
"244","ATG","DZA",1.89693079459242e-08,5.57460198268783e-08,0.09
"245","ATG","ARG",4.32139688580452e-10,1.29641906574136e-09,0.34
"246","ATG","BLR",3.87301336964757e-10,1.16190401089427e-09,0.33
"247","ATG","BEN",4.23669542396334e-09,1.16677715916722e-08,0.088
"248","ATG","BES",1.14286436557812e-09,2.32380802178854e-09,0.097
"249","ATG","BIH",3.47438226739275e-10,1.04231468021782e-09,0.307
"250","ATG","KHM",3.28426163321144e-08,6.56852326642287e-08,0.374
"251","ATG","CMR",3.62427408388104e-06,7.24854816776208e-06,0.078
"252","ATG","CYM",4.49943218886144e-09,1.03713525259309e-08,0.078
"253","ATG","CHL",4.04609394478087e-09,9.53919376770893e-09,0.092
"254","ATG","COL",3.0793710504019e-09,8.13332807625991e-09,0.094
"255","ATG","COG",5.38097632477148e-09,1.35500908428317e-08,0.085
"256","ATG","COD",3.87301336964757e-10,1.16190401089427e-09,0.334
"257","ATG","HRV",8.64279377160904e-10,2.59283813148271e-09,0.34
"258","ATG","CUB",6.69004325920876e-09,1.42606097231549e-08,0.095
"259","ATG","CZE",7.92268275984243e-09,1.83458295620207e-08,0.079
"260","ATG","EGY",5.52728072870379e-09,1.31163914305998e-08,0.076
"261","ATG","SWZ",5.18567626296543e-09,1.55570287888963e-08,0.306
"262","ATG","ETH",3.55045134985936e-09,7.10090269971872e-09,0.087
"263","ATG","FJI",1.93650668482379e-09,5.80952005447136e-09,0.347
